workload	timestamp	pit
17000	148250	9924
19000	148300	5601.75
17000	148350	4830.8
18000	148400	6164.5654
20000	148450	2888.4285
10000	148500	4283.4
16000	148550	11836.111
19000	148600	1194.5
15000	148650	22990.277
10000	148700	13126.667
10000	148750	15118.272
16000	148800	3504.9412
18000	148850	19522.777
15000	148900	2395.077
15000	148950	10591.363
16000	149000	7163.4
14000	149050	2497.1428
15000	149100	5238.4443
15000	149150	7703.2
20000	149200	4003.7778
14000	149250	4841.778
14000	149300	6021.778
12000	149350	7773.875
12000	149400	3254.6365
19000	149450	14716.728
11000	149500	5026.8125
15000	149550	9599.223
17000	149600	6440.1763
19000	149650	12148.889
19000	149700	6602.4
14000	149750	2037.5834
14000	149800	4083.4167
19000	149850	5939.077
14000	149900	11126
18000	149950	4025.1428
14000	150000	19383.223
11000	150050	1904
14000	150100	20596.5
19000	150150	9711.333
18000	150200	3742.1
14000	150250	5345.75
11000	150300	11024.5
11000	150350	8554.556
11000	150400	3556.75
17000	150450	9092.77
10000	150500	6337.25
14000	150550	33938.555
17000	150600	4245.125
19000	150650	26456.8
17000	150700	1689
14000	150750	7232.1665
17000	150800	4940.7
10000	150850	10493.917
11000	150900	9484.889
15000	150950	11151.2
15000	151000	6150.154
14000	151050	6705.5
12000	151100	6102.4443
15000	151150	4067.9
10000	151200	15189.846
11000	151250	5413.857
17000	151300	13199.167
17000	151350	16008.533
10000	151400	1657.1428
14000	151450	4804.4546
18000	151500	10429.375
11000	151550	5141.5
13000	151600	13177.583
15000	151650	13023.833
16000	151700	5900
15000	151750	12644.9
11000	151800	28225.584
11000	151850	23188.4
16000	151900	4957.0713
18000	151950	19319.889
14000	152000	4986.1113
19000	152050	10348.667
14000	152100	2745.923
16000	152150	5201.4
15000	152200	15579.4
15000	152250	8463.9
16000	152300	7752.5
18000	152350	9348.5
17000	152400	11513.823
19000	152450	5000
15000	152500	11758.625
14000	152550	5996.6665
18000	152600	4182.4443
18000	152650	18263.908
13000	152700	5790.7
18000	152750	14768.25
10000	152800	2383.75
12000	152850	39719.047
19000	152900	7018.357
10000	152950	4200.222
12000	153000	40849.145
14000	153050	15045.272
15000	153100	8171.8335
12000	153150	12815.3
15000	153200	8733.556
12000	153250	6802.4736
14000	153300	3699.6667
13000	153350	7453.0625
10000	153400	10464.2
11000	153450	2525
14000	153500	2049.4546
20000	153550	7694.5
10000	153600	9843.667
16000	153650	7085
16000	153700	17194
11000	153750	16499.105
17000	153800	15077
12000	153850	15977
19000	153900	15953.6
13000	153950	8651
11000	154000	16317.272
18000	154050	12817.929
18000	154100	30205.727
14000	154150	2644.6667
17000	154200	5667.375
18000	154250	15648.286
12000	154300	8279.429
16000	154350	7767.75
15000	154400	1748.4615
19000	154450	3576.1428
11000	154500	21783.428
18000	154550	7219.2
19000	154600	8739.571
13000	154650	4543.923
11000	154700	7448.8887
13000	154750	4338
13000	154800	1075.4445
19000	154850	8869.111
14000	154900	22216.092
11000	154950	10125.833
13000	155000	2855.5
20000	155050	26069.125
15000	155100	5889.6665
12000	155150	5387.875
15000	155200	17374.625
15000	155250	4007.8462
13000	155300	14634
18000	155350	22363.5
20000	155400	16720.666
15000	155450	10019.714
13000	155500	10839.333
19000	155550	7715.5
15000	155600	4493.8887
15000	155650	3199.6
16000	155700	20648.334
16000	155750	3565.5
12000	155800	11774.429
18000	155850	6566.5454
12000	155900	7771.2
11000	155950	11077.583
12000	156000	1258.8889
11000	156050	7214.9
18000	156100	19724.334
14000	156150	9010.8
16000	156200	16239.333
11000	156250	21769.883
18000	156300	16936.154
11000	156350	13078.875
16000	156400	6117.3335
19000	156450	6321.1113
17000	156500	11710.556
12000	156550	4634
16000	156600	37585.832
17000	156650	2297.3333
12000	156700	8128.769
12000	156750	3168.5557
12000	156800	10687
20000	156850	13504.462
19000	156900	20082.092
16000	156950	4760.5713
17000	157000	3785.4285
18000	157050	6760.5835
10000	157100	2819.9285
18000	157150	10261
15000	157200	4939
19000	157250	11461.583
11000	157300	31115.25
13000	157350	32609.3
15000	157400	12801.462
13000	157450	10025.375
19000	157500	2055.1667
18000	157550	11845.375
20000	157600	4807.3335
19000	157650	5078.3335
19000	157700	6309.2354
15000	157750	3829.1333
18000	157800	38773.715
11000	157850	8589.556
12000	157900	6262
13000	157950	12599.643
16000	158000	6038.5713
17000	158050	11471.444
13000	158100	9835.714
12000	158150	6339.6665
19000	158200	5693.6
12000	158250	9285
20000	158300	10544.571
15000	158350	11229
16000	158400	4618.875
12000	158450	4210.857
14000	158500	29181.2
19000	158550	24573.934
